use cuda: True
Namespace(name='acm', k=None, lr=0.001, n_clusters=3, n_z=10, pretrain_path='data/acm.pkl', cuda=True, n_input=1870)
SDCN(
  (ae): AE(
    (enc_1): Linear(in_features=1870, out_features=500, bias=True)
    (enc_2): Linear(in_features=500, out_features=500, bias=True)
    (enc_3): Linear(in_features=500, out_features=2000, bias=True)
    (z_layer): Linear(in_features=2000, out_features=10, bias=True)
    (dec_1): Linear(in_features=10, out_features=2000, bias=True)
    (dec_2): Linear(in_features=2000, out_features=500, bias=True)
    (dec_3): Linear(in_features=500, out_features=500, bias=True)
    (x_bar_layer): Linear(in_features=500, out_features=1870, bias=True)
  )
  (gnn_1): GNNLayer()
  (gnn_2): GNNLayer()
  (gnn_3): GNNLayer()
  (gnn_4): GNNLayer()
  (gnn_5): GNNLayer()
)
56Z :acc 0.8853 , nmi 0.6368 , ari 0.6928 , f1 0.8848
56P :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
57Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
57Z :acc 0.8853 , nmi 0.6410 , ari 0.6934 , f1 0.8854
57P :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
58Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
58Z :acc 0.8843 , nmi 0.6363 , ari 0.6907 , f1 0.8839
58P :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
59Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
59Z :acc 0.8833 , nmi 0.6356 , ari 0.6886 , f1 0.8826
59P :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
60Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
60Z :acc 0.8850 , nmi 0.6375 , ari 0.6923 , f1 0.8848
60P :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
61Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
61Z :acc 0.8879 , nmi 0.6415 , ari 0.6986 , f1 0.8876
61P :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
62Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
62Z :acc 0.8833 , nmi 0.6399 , ari 0.6896 , f1 0.8825
62P :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
63Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
63Z :acc 0.8909 , nmi 0.6455 , ari 0.7051 , f1 0.8906
63P :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
64Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
64Z :acc 0.8853 , nmi 0.6406 , ari 0.6935 , f1 0.8849
64P :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
65Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
65Z :acc 0.8856 , nmi 0.6386 , ari 0.6935 , f1 0.8851
65P :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
66Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
66Z :acc 0.8860 , nmi 0.6405 , ari 0.6945 , f1 0.8853
66P :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
67Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
67Z :acc 0.8860 , nmi 0.6408 , ari 0.6948 , f1 0.8856
67P :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
68Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
68Z :acc 0.8902 , nmi 0.6444 , ari 0.7036 , f1 0.8900
68P :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
69Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
69Z :acc 0.8826 , nmi 0.6384 , ari 0.6881 , f1 0.8818
69P :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
